NoteOn Events (time_stamp, midi_note, velocity):
22.8141945125,65,0
23.0439242958,50,0
23.0439242958,38,0
23.0743297083,36,0
23.0777080875,42,0
23.4949379146,42,0
23.5152081896,36,0
23.8125055563,42,0
24.12162725,69,0
24.1250056292,67,0
24.1283840083,74,0
24.1621678,62,0
24.1993299708,71,0
24.2111542979,67,0
24.2314245729,40,0
24.3209516208,42,0
24.5422354563,74,0
24.5658841104,36,0
24.6165597979,42,0
24.7466273958,55,0
24.7466273958,43,0
24.7466273958,72,0
24.8479787708,65,0
24.8631814771,64,0
24.8665598563,72,0
24.8699382354,67,0
24.9087895958,36,0
25.0523707104,42,0
25.4543978313,64,0
25.5591275854,67,0
25.5726411021,72,0
26.3243304667,36,0
26.7297359667,72,0
26.7297359667,60,0
